"(Tracking Code Reserved)","(Réservé Code Tracking)"
"10 chars max - Provided by Mondial Relay","10 caractères max - Paramètre fourni par Mondial Relay"
"8 chars max - Provided by Mondial Relay","8 caractères max - Paramètre fourni par Mondial Relay"
"A return has already been registered for shipment #%s","Un retour a déjà été programmé pour l'expédition n°%s"
"Active","Activé"
"Add order weight to shipping method title","Ajouter le poids du colis au libellé de la méthode"
"Allowed modes","Modes autorisés"
"Allowed return modes","Modes de retour autorisés"
"An error has occurred during label recovery (%s)","Une erreur est survenue durant la récupération des étiquettes (%s)"
"As displayed on the front-end","Tel qu'affiché sur le front-end"
"As set in Configuration > Sales > Shipping settings > Origin","Définie dans Configuration > Ventes > Réglages d'envoi > Origine"
"AS400 Unavailability","Indisponibilité AS400"
"Bad Base Company Type","Type d'enseigne incorrect en base"
"Banned Items","Articles interdits"
"Banned items for scheduled home delivery","Articles interdits à la livraison à domicile sur rendez-vous"
"Carrier Title","Intitulé générique du mode de livraison"
"Catalog Weight Unit","Unité de poids des articles du catalogue"
"CDR mode","Collecte à domicile 1 livreur (CDR)"
"CDS mode","Collecte à domicile 2 livreurs (CDS)"
"Change collection pickup","Changer de point relais de collecte"
"Check your Mondial Relay contract","Consultez votre contrat Mondial Relay"
"City","Ville"
"City List","Liste des communes"
"Click to select your pick-up location","Choisir votre point relais&nbsp;" 
"Closed","Fermé"
"Colisdrive mode","Mode Colidrive: colis jusqu'à 130 kgs (DRI)"
"Collection pick-up","Point-relais de collecte"
"Comma-separated ID values","ID produits séparés par des virgules"
"Company Reference","Référence de marque"
"Country","Pays"
"Create re-shipping label","Création de l'étiquette de réexpédition"
"Create return label","Création de l'étiquette retour"
"Creation of a re-shipping label (%s)","Création d'une étiquette de réexpédition (%s)"
"Creation of a return shipping label (%s)","Création d'une étiquette de retour (%s)"
"Debug error message","Message de débogage"
"Debug Mode","Mode débogage"
"Description","Description"
"Description for scheduled home delivery","Description de la livraison à domicile sur rendez-vous" 
"Disabled Company Account","Compte enseigne non activé"
"Displayed Error Message","Message d'erreur"
"Do you want to get a shipping label for this shipment? If you cancel, this order will be flagged as [Shipped] but no web service registration will be processed.","Souhaitez-vous obtenir une étiquette pour cette expédition ? Si vous annulez, la commande passera au statut [Expédié] mais aucun enregistrement par web service ne sera réalisé auprès de Mondial Relay."
"Do you want to set packages for this shipment? If you cancel, this shipment will be registered as single parcel.","Souhaitez-vous organiser le packing pour cette expédition ? Si vous annulez, cette expédition sera enregistrée comme mono-colis."
"Download re-shipping label","Télécharger l'étiquette de réexpédition"
"Download return shipping label","Télécharger l'étiquette de retour"
"Drive-Pickup Delivery","Livraison en Colis-Drive"
"Email return shipping label to customer","Envoyer le lien de téléchargement de l'étiquette au client"
"Email unsuccessfully sent for shipment #%s (%)","Echec de l'envoi de l'e-mail pour l'expédition n°%s (%s)"
"Enter an extra fee or percentage. Leave 0 to use basic table rate","Entrer un montant ou un pourcentage. Laisser à 0 pour utiliser la grille standard de tarification"
"Error: unable to connect to Mondial Relay service","Erreur: services Mondial Relay indisponibles"
"Error in table rates line %s: %s fields found!","Erreur dans la grille de tarification ligne %s: %s champs trouvés !"
"Error in table rates line %s: value %s is not valid","Erreur dans la grille de tarification ligne %s: valeur %s non valide"
"Exhausted Delivery Number Range","Plage de numéros d'expédition épuisée"
"Extra fee for scheduled home delivery","Frais supplémentaires pour la livraison à domicile sur rendez-vous"
"Friday","Vendredi"
"g","g"
"Gram","Gramme"
"%sh%s","%sh%s"
"HOME mode","Mode HOM: livraison sans rendez-vous colis jusqu'à 30 kgs (HOM)"
"HOME1 mode","Mode HOME1: livraison sur rendez-vous colis jusqu'à 70 kgs (LD1)"
"HOME2 mode","Mode HOME2: livraison sur rendez-vous colis jusqu'à 130 kgs (LD2)"
"If enabled, log file is located at /var/log/man4x_mondialrelay_debug.log","Si activé, les logs sont compilés dans le fichier /var/log/man4x_mondialrelay_debug.log"
"Impossible to get any available pick-up for collection: please contact us.","Impossible de déterminer une liste de points de collecte valides: veuillez nous contacter."
"info","i"
"Invalid %s \"%s\" in the Row #%s","Condition %s \"%s\" invalide à la ligne %s"
"Invalid Address","Adresse invalide"
"Invalid Appointment Top","Top rendez-vous invalide"
"Invalid Insurance","Assurance invalide ou incorrecte"
"Invalid City","Ville invalide"
"Invalid COD Amount","Montant CRT invalide"
"Invalid COD Currency","Devise CRT invalide"
"Invalid Collection Mode","Mode de collecte invalide"
"Invalid Collection or Delivery Mode","Mode de collecte ou de livraison invalide"
"Invalid collection phone contact for shipment #%s (%s)","Numéro de téléphone invalide pour l'expédition en retour n°%s (%s)"
"Invalid Collection Relay Country","Pays de point de relai de collecte invalide"
"Invalid Collection Relay Number","Numéro de point de relai de collecte invalide"
"Invalid Collection Type (1/D > Home -- 3/R > Relay)","Type de collecte invalide (1/D > Domicile -- 3/R > Relay)"
"Invalid Company Account","Numéro de compte enseigne invalide"
"Invalid Company Customer Number","Numéro de client enseigne invalide"
"Invalid Company File Number","Numéro de dossier enseigne invalide"
"Invalid Company Name","Enseigne invalide"
"Invalid Country \"%s\" in the Row #%s","Pays \"%s\" invalide à la ligne %s"
"Invalid Country Code","Code pays invalide"
"Invalid Delivery Instructions","Instructions de livraison invalides"
"Invalid Delivery Mode","Mode de livraison invalide"
"Invalid Delivery Relay Country","Pays de point de relai de livraison invalide"
"Invalid Delivery Relay Number","Numéro de point relai de livraison invalide"
"Invalid Delivery Type (1/D > Home -- 3/R > Relay)","Type de livraison invalide (1/D > Domicile -- 3/R > Relay)"
"Invalid Language","Langue invalide"
"Invalid Mondial Relay Parcel Number","Numéro de colis Mondial Relay invalide"
"Invalid Parcel Number","Nombre de colis invalide"
"Invalid Parcel Size","Taille du colis invalide"
"Invalid Parcel Size (Length + Height)","Taille du colis invalide (longueur + hauteur)"
"Invalid Parcel Value","Valeur colis invalide"
"Invalid Parcel Value Currency","Devise de la valeur colis invalide"
"Invalid Parcel Weight","Poids colis invalide"
"Invalid Post Code","Code postal invalide"
"Invalid Region/State \"%s\" in the Row #%s","Région/Département \"%s\" invalide à la ligne %s"
"Invalid Recipient Address Line 1","Ligne 1 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 2","Ligne 2 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 3","Ligne 3 d'adresse du destinataire invalide"
"Invalid Recipient Address Line 4","Ligne 4 d'adresse du destinataire invalide"
"Invalid Recipient City","Ville destinataire invalide"
